17-34, Private, Some-college, Machine-op-inspct, Amer-Indian-Eskimo, Male,20-39, <=50K
50-65, Private, HS-grad, Handlers-cleaners, Black, Male,40-59, <=50K
17-34, Private, Masters, Prof-specialty, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Machine-op-inspct, Black, Male,40-59, <=50K
17-34, Private, Bachelors, Tech-support, Black, Female,40-59, <=50K
35-49, Federal-gov, HS-grad, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, HS-grad, Adm-clerical, Black, Female,40-59, <=50K
17-34, Federal-gov, Some-college, Adm-clerical, Black, Female,60-79, <=50K
35-49, Private, HS-grad, Adm-clerical, Black, Female,40-59, <=50K
50-65, Local-gov, HS-grad, Handlers-cleaners, Black, Female,20-39, <=50K
50-65, Private, HS-grad, Craft-repair, Black, Female,40-59, <=50K
50-65, State-gov, Assoc-voc, Other-service, Black, Female,20-39, <=50K
50-65, Private, 1st-4th, Priv-house-serv, Black, Female,20-39, <=50K
17-34, Private, Some-college, Handlers-cleaners, Black, Male,20-39, <=50K
50-65, Private, 9th, Exec-managerial, Black, Male,60-79, <=50K
17-34, Private, HS-grad, Transport-moving, Black, Male,40-59, <=50K
17-34, Private, Masters, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, Some-college, Exec-managerial, Black, Female,20-39, <=50K
17-34, Private, HS-grad, Protective-serv, Black, Female,20-39, <=50K
35-49, Federal-gov, Some-college, Exec-managerial, Black, Male,40-59, >50K
17-34, Private, Bachelors, Other-service, Black, Female,20-39, <=50K
35-49, Local-gov, Masters, Protective-serv, Black, Male,40-59, >50K
65+, Private, 9th, Other-service, Black, Female,20-39, <=50K
35-49, Private, HS-grad, Other-service, Black, Female,20-39, <=50K
17-34, Private, HS-grad, Other-service, Black, Female,20-39, <=50K
35-49, Private, Some-college, Transport-moving, Black, Male,40-59, <=50K
35-49, Local-gov, Masters, Prof-specialty, Black, Male,40-59, <=50K
35-49, Private, Some-college, Transport-moving, Black, Female,40-59, <=50K
17-34, Federal-gov, Bachelors, Prof-specialty, Black, Male,40-59, <=50K
35-49, Federal-gov, Some-college, Adm-clerical, Black, Male,40-59, <=50K
35-49, Private, Some-college, Other-service, Black, Male,20-39, <=50K
35-49, Private, Bachelors, Prof-specialty, Black, Male,40-59, <=50K
35-49, State-gov, Some-college, Exec-managerial, Black, Female,40-59, <=50K
17-34, Private, HS-grad, Other-service, Black, Female,20-39, <=50K
50-65, Federal-gov, Bachelors, Prof-specialty, Black, Female,40-59, <=50K
50-65, State-gov, HS-grad, Other-service, Black, Female,20-39, <=50K
35-49, Private, Some-college, Other-service, Black, Female,40-59, <=50K
17-34, Private, Some-college, Tech-support, Black, Female,40-59, <=50K
17-34, Private, Some-college, Craft-repair, Black, Male,40-59, <=50K
50-65, Private, 7th-8th, Other-service, Black, Female,20-39, <=50K
50-65, Self-emp-not-inc, HS-grad, Craft-repair, Black, Male,40-59, <=50K
17-34, Private, Assoc-voc, Other-service, Black, Male,40-59, <=50K
35-49, State-gov, 11th, Tech-support, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Sales, Black, Male,40-59, <=50K
50-65, Private, Bachelors, Sales, Black, Female,60-79, <=50K
35-49, Private, HS-grad, Other-service, Black, Female,40-59, <=50K
50-65, Private, Assoc-acdm, Adm-clerical, Black, Female,40-59, <=50K
50-65, Private, Some-college, Adm-clerical, Black, Female,40-59, >50K
17-34, Private, 11th, Machine-op-inspct, Black, Male,40-59, <=50K
35-49, Private, 11th, Protective-serv, Black, Male,40-59, >50K
50-65, Private, HS-grad, Craft-repair, Black, Male,40-59, <=50K
50-65, Private, 10th, Other-service, Black, Female,20-39, <=50K
17-34, Private, Some-college, Sales, Black, Female,20-39, <=50K
17-34, Private, Bachelors, Prof-specialty, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Craft-repair, Black, Male,40-59, <=50K
17-34, Private, Assoc-acdm, Sales, Black, Male,40-59, <=50K
50-65, Self-emp-not-inc, HS-grad, Exec-managerial, Black, Male,40-59, >50K
35-49, Self-emp-not-inc, Bachelors, Prof-specialty, Black, Female,40-59, >50K
17-34, Private, HS-grad, Adm-clerical, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Other-service, Black, Female,40-59, <=50K
35-49, Private, Some-college, Craft-repair, Black, Male,40-59, <=50K
17-34, Federal-gov, Some-college, Exec-managerial, Black, Male,40-59, <=50K
17-34, Federal-gov, HS-grad, Adm-clerical, Black, Female,40-59, <=50K
17-34, Self-emp-not-inc, Some-college, Other-service, Black, Male,40-59, <=50K
50-65, Local-gov, Assoc-voc, Adm-clerical, Black, Female,40-59, <=50K
50-65, Private, Some-college, Exec-managerial, Black, Female,20-39, <=50K
17-34, Private, Assoc-acdm, Prof-specialty, Black, Female,20-39, <=50K
17-34, Private, HS-grad, Craft-repair, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Machine-op-inspct, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Protective-serv, Black, Male,20-39, <=50K
17-34, Private, Some-college, Handlers-cleaners, Black, Male,40-59, <=50K
35-49, Local-gov, Masters, Tech-support, Black, Female,40-59, >50K
35-49, Local-gov, Masters, Prof-specialty, Black, Female,40-59, <=50K
35-49, Private, 11th, Handlers-cleaners, Black, Male,40-59, <=50K
35-49, Private, Bachelors, Exec-managerial, Black, Female,40-59, >50K
17-34, Local-gov, Bachelors, Prof-specialty, Black, Female,60-79, <=50K
35-49, State-gov, Some-college, Protective-serv, Black, Male,40-59, <=50K
17-34, Private, Assoc-voc, Sales, Black, Male,40-59, <=50K
35-49, State-gov, Bachelors, Prof-specialty, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Protective-serv, Black, Male,40-59, <=50K
17-34, Federal-gov, HS-grad, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, Masters, Exec-managerial, Black, Male,60-79, <=50K
35-49, Private, Some-college, Transport-moving, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Handlers-cleaners, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Other-service, Black, Female,0-19, <=50K
17-34, Private, Bachelors, Protective-serv, Black, Male,20-39, <=50K
50-65, Federal-gov, Some-college, Prof-specialty, Black, Female,40-59, <=50K
17-34, State-gov, Bachelors, Protective-serv, Black, Female,40-59, <=50K
35-49, Private, 9th, Transport-moving, Black, Male,40-59, <=50K
35-49, Private, Bachelors, Exec-managerial, Black, Female,40-59, >50K
35-49, Self-emp-not-inc, Bachelors, Sales, Black, Female,40-59, <=50K
17-34, Local-gov, HS-grad, Protective-serv, Black, Male,40-59, <=50K
35-49, Private, Assoc-voc, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, Assoc-voc, Exec-managerial, Black, Female,40-59, <=50K
17-34, Local-gov, Bachelors, Prof-specialty, Black, Female,40-59, <=50K
50-65, Private, HS-grad, Machine-op-inspct, Black, Female,40-59, <=50K
17-34, Private, Some-college, Prof-specialty, Black, Male,40-59, <=50K
50-65, Federal-gov, HS-grad, Craft-repair, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Other-service, Black, Female,40-59, <=50K
35-49, Private, Some-college, Other-service, Black, Male,40-59, <=50K
50-65, Private, HS-grad, Handlers-cleaners, Black, Female,40-59, <=50K
50-65, Local-gov, HS-grad, Other-service, Black, Female,20-39, <=50K
17-34, Local-gov, Bachelors, Prof-specialty, Black, Female,40-59, <=50K
50-65, Federal-gov, Some-college, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, 11th, Handlers-cleaners, Black, Female,0-19, <=50K
35-49, Private, Assoc-acdm, Sales, Black, Male,40-59, >50K
50-65, Private, 9th, Farming-fishing, Black, Male,40-59, <=50K
35-49, Private, Some-college, Exec-managerial, Black, Male,40-59, <=50K
35-49, Private, Bachelors, Prof-specialty, Black, Male,40-59, <=50K
17-34, Private, Bachelors, Prof-specialty, Black, Male,40-59, <=50K
35-49, Local-gov, Bachelors, Protective-serv, Black, Male,40-59, >50K
35-49, Private, Bachelors, Sales, Black, Male,40-59, <=50K
50-65, Private, Some-college, Protective-serv, Black, Female,40-59, <=50K
35-49, Private, Bachelors, Adm-clerical, Black, Male,40-59, <=50K
50-65, Private, 1st-4th, Farming-fishing, Black, Male,40-59, <=50K
17-34, Self-emp-not-inc, Bachelors, Prof-specialty, Black, Male,40-59, <=50K
17-34, Self-emp-not-inc, Bachelors, Prof-specialty, Black, Male,40-59, >50K
65+, Private, 9th, Priv-house-serv, Black, Female,0-19, <=50K
35-49, Private, HS-grad, Other-service, Black, Female,20-39, <=50K
17-34, Private, Some-college, Prof-specialty, Black, Female,40-59, <=50K
17-34, Private, Some-college, Handlers-cleaners, Black, Male,0-19, <=50K
17-34, Private, Bachelors, Sales, Black, Female,40-59, <=50K
50-65, Local-gov, Assoc-acdm, Adm-clerical, Black, Male,40-59, <=50K
50-65, Local-gov, Masters, Prof-specialty, Black, Female,40-59, >50K
50-65, Private, Assoc-voc, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, HS-grad, Handlers-cleaners, Black, Male,40-59, <=50K
17-34, Private, Some-college, Adm-clerical, Black, Female,40-59, <=50K
50-65, Self-emp-inc, HS-grad, Exec-managerial, Black, Male,40-59, <=50K
50-65, Private, 5th-6th, Other-service, Black, Female,0-19, <=50K
35-49, Private, Some-college, Adm-clerical, Black, Female,20-39, <=50K
65+, Private, 9th, Farming-fishing, Black, Male,20-39, <=50K
35-49, Private, Assoc-voc, Machine-op-inspct, Black, Male,40-59, <=50K
50-65, State-gov, Bachelors, Adm-clerical, Black, Female,20-39, <=50K
35-49, Private, 10th, Machine-op-inspct, Black, Male,40-59, <=50K
17-34, Private, Some-college, Craft-repair, Black, Male,40-59, >50K
17-34, Private, Some-college, Craft-repair, Black, Male,40-59, <=50K
50-65, Self-emp-not-inc, Assoc-acdm, Sales, Black, Male,20-39, <=50K
17-34, Private, Bachelors, Sales, Black, Male,0-19, <=50K
35-49, Private, 11th, Craft-repair, Black, Male,40-59, <=50K
35-49, Private, 11th, Other-service, Black, Female,20-39, <=50K
50-65, Private, 7th-8th, Farming-fishing, Black, Male,40-59, <=50K
17-34, Private, Some-college, Adm-clerical, Black, Female,20-39, <=50K
35-49, Private, HS-grad, Adm-clerical, Black, Female,20-39, <=50K
17-34, Private, HS-grad, Sales, Black, Female,40-59, <=50K
35-49, Local-gov, Some-college, Protective-serv, Black, Male,40-59, <=50K
35-49, Private, Some-college, Sales, Black, Male,40-59, <=50K
35-49, Private, 7th-8th, Handlers-cleaners, Black, Male,40-59, <=50K
17-34, Local-gov, 11th, Machine-op-inspct, Black, Male,40-59, <=50K
50-65, Private, 11th, Other-service, Black, Female,20-39, <=50K
50-65, Private, HS-grad, Other-service, Black, Female,20-39, <=50K
17-34, Private, Bachelors, Adm-clerical, Black, Female,40-59, <=50K
35-49, Private, HS-grad, Machine-op-inspct, Black, Female,40-59, <=50K
35-49, Local-gov, Assoc-acdm, Adm-clerical, Black, Female,40-59, <=50K
35-49, State-gov, 7th-8th, Other-service, Black, Female,40-59, <=50K
17-34, Local-gov, Some-college, Handlers-cleaners, Black, Male,40-59, <=50K
17-34, Local-gov, Some-college, Other-service, Black, Male,20-39, <=50K
35-49, Self-emp-not-inc, Masters, Exec-managerial, Black, Male,20-39, <=50K
35-49, Private, Bachelors, Adm-clerical, Black, Male,60-79, <=50K
50-65, Local-gov, Bachelors, Prof-specialty, Black, Female,40-59, <=50K
17-34, Private, Prof-school, Prof-specialty, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Machine-op-inspct, Black, Female,60-79, <=50K
17-34, Private, Some-college, Adm-clerical, Black, Male,40-59, <=50K
35-49, Private, 11th, Craft-repair, Black, Female,40-59, <=50K
17-34, Local-gov, HS-grad, Protective-serv, Black, Female,40-59, <=50K
17-34, Private, Bachelors, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, Some-college, Other-service, Black, Male,40-59, <=50K
35-49, Private, Bachelors, Machine-op-inspct, Black, Male,20-39, <=50K
35-49, Local-gov, Bachelors, Prof-specialty, Black, Female,40-59, <=50K
35-49, Local-gov, Assoc-acdm, Tech-support, Black, Male,40-59, <=50K
35-49, Local-gov, Bachelors, Protective-serv, Black, Male,40-59, <=50K
35-49, Self-emp-not-inc, Some-college, Prof-specialty, Black, Male,40-59, <=50K
65+, Local-gov, HS-grad, Protective-serv, Black, Male,20-39, <=50K
17-34, Self-emp-not-inc, Bachelors, Adm-clerical, Black, Female,20-39, <=50K
17-34, Private, Some-college, Transport-moving, Black, Male,60-79, <=50K
17-34, Private, Bachelors, Handlers-cleaners, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Transport-moving, Black, Male,40-59, <=50K
17-34, State-gov, Bachelors, Protective-serv, Black, Male,40-59, <=50K
35-49, Private, Some-college, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, Assoc-voc, Tech-support, Black, Female,40-59, <=50K
35-49, Private, Bachelors, Sales, Black, Male,60-79, >50K
17-34, Private, Some-college, Craft-repair, Black, Male,40-59, <=50K
17-34, Private, Some-college, Sales, Black, Female,20-39, <=50K
35-49, Private, HS-grad, Craft-repair, Black, Female,40-59, <=50K
17-34, Local-gov, Bachelors, Prof-specialty, Black, Female,40-59, <=50K
35-49, State-gov, HS-grad, Transport-moving, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Other-service, Black, Male,40-59, <=50K
35-49, Private, Bachelors, Handlers-cleaners, Black, Male,40-59, <=50K
35-49, State-gov, HS-grad, Other-service, Black, Male,40-59, <=50K
35-49, Private, 12th, Transport-moving, Black, Male,20-39, <=50K
35-49, Private, HS-grad, Other-service, Black, Female,40-59, <=50K
35-49, Self-emp-not-inc, Bachelors, Other-service, Black, Female,60-79, <=50K
65+, Private, HS-grad, Machine-op-inspct, Black, Male,40-59, <=50K
35-49, Local-gov, Bachelors, Prof-specialty, Black, Male,20-39, <=50K
35-49, Local-gov, Some-college, Adm-clerical, Black, Male,40-59, <=50K
35-49, Federal-gov, HS-grad, Transport-moving, Black, Male,40-59, <=50K
17-34, Private, Some-college, Craft-repair, Black, Male,40-59, <=50K
17-34, Private, Some-college, Handlers-cleaners, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Machine-op-inspct, Black, Male,20-39, <=50K
17-34, Private, HS-grad, Handlers-cleaners, Black, Male,40-59, <=50K
50-65, Local-gov, HS-grad, Protective-serv, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Machine-op-inspct, Black, Male,40-59, <=50K
35-49, Private, Assoc-acdm, Transport-moving, Black, Male,60-79, <=50K
35-49, Private, HS-grad, Sales, Black, Female,60-79, <=50K
50-65, Private, 11th, Other-service, Black, Female,40-59, <=50K
17-34, Private, 11th, Craft-repair, Black, Male,20-39, <=50K
35-49, Private, Assoc-acdm, Adm-clerical, Black, Female,40-59, <=50K
17-34, Local-gov, Bachelors, Tech-support, Black, Male,40-59, >50K
17-34, Private, HS-grad, Transport-moving, Black, Male,80+, <=50K
35-49, Private, Assoc-voc, Machine-op-inspct, Black, Female,40-59, <=50K
17-34, State-gov, Some-college, Other-service, Black, Male,0-19, <=50K
17-34, Private, Some-college, Adm-clerical, Black, Male,20-39, <=50K
65+, Private, 1st-4th, Other-service, Black, Male,40-59, <=50K
35-49, Federal-gov, HS-grad, Adm-clerical, Black, Male,40-59, <=50K
17-34, Private, Masters, Prof-specialty, Black, Male,40-59, <=50K
17-34, Local-gov, HS-grad, Farming-fishing, Black, Male,60-79, <=50K
17-34, Private, HS-grad, Handlers-cleaners, Black, Female,40-59, <=50K
17-34, Federal-gov, Assoc-acdm, Transport-moving, Black, Male,40-59, <=50K
35-49, Local-gov, Bachelors, Adm-clerical, Black, Female,40-59, <=50K
35-49, Private, 11th, Machine-op-inspct, Black, Male,20-39, <=50K
17-34, Private, HS-grad, Craft-repair, Black, Male,40-59, <=50K
35-49, Private, 11th, Machine-op-inspct, Black, Male,40-59, <=50K
35-49, State-gov, Masters, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, HS-grad, Craft-repair, Black, Male,40-59, <=50K
17-34, State-gov, Masters, Adm-clerical, Black, Female,20-39, <=50K
17-34, State-gov, Bachelors, Prof-specialty, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Craft-repair, Black, Male,60-79, <=50K
35-49, Private, HS-grad, Protective-serv, Black, Female,40-59, <=50K
50-65, Private, 10th, Other-service, Black, Female,40-59, <=50K
17-34, Private, Assoc-voc, Prof-specialty, Black, Male,40-59, <=50K
17-34, Private, 11th, Craft-repair, Black, Male,40-59, <=50K
17-34, Self-emp-not-inc, Some-college, Machine-op-inspct, Black, Male,40-59, <=50K
17-34, Private, Bachelors, Prof-specialty, Black, Male,40-59, >50K
17-34, Private, Masters, Prof-specialty, Black, Male,20-39, <=50K
35-49, Private, Some-college, Adm-clerical, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Other-service, Black, Female,40-59, <=50K
50-65, Private, Bachelors, Sales, Black, Male,40-59, >50K
17-34, Federal-gov, Bachelors, Tech-support, Black, Female,40-59, <=50K
35-49, Private, HS-grad, Craft-repair, Black, Male,40-59, <=50K
17-34, Local-gov, HS-grad, Other-service, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Other-service, Black, Male,40-59, <=50K
17-34, Federal-gov, Some-college, Armed-Forces, Black, Male,60-79, <=50K
35-49, Private, HS-grad, Adm-clerical, Black, Female,40-59, <=50K
50-65, Private, 11th, Other-service, Black, Female,40-59, <=50K
35-49, Federal-gov, Some-college, Exec-managerial, Black, Female,40-59, <=50K
17-34, Private, Assoc-voc, Handlers-cleaners, Black, Male,40-59, <=50K
50-65, Private, 9th, Other-service, Black, Male,40-59, <=50K
35-49, Federal-gov, Bachelors, Exec-managerial, Black, Female,40-59, <=50K
35-49, Self-emp-not-inc, HS-grad, Craft-repair, Black, Male,40-59, <=50K
17-34, Self-emp-not-inc, 12th, Craft-repair, Black, Male,20-39, <=50K
35-49, Self-emp-not-inc, Some-college, Transport-moving, Black, Male,20-39, <=50K
35-49, State-gov, HS-grad, Other-service, Black, Female,40-59, <=50K
35-49, State-gov, Masters, Adm-clerical, Black, Male,20-39, <=50K
17-34, Private, HS-grad, Sales, Black, Male,40-59, <=50K
17-34, Private, Some-college, Prof-specialty, Black, Male,40-59, <=50K
35-49, Private, Masters, Exec-managerial, Black, Male,40-59, >50K
50-65, Federal-gov, Bachelors, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, HS-grad, Machine-op-inspct, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Machine-op-inspct, Black, Male,40-59, <=50K
50-65, Private, HS-grad, Machine-op-inspct, Black, Female,40-59, <=50K
35-49, Private, HS-grad, Adm-clerical, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Tech-support, Black, Female,40-59, <=50K
17-34, Private, HS-grad, Adm-clerical, Black, Male,40-59, <=50K
17-34, Private, 12th, Craft-repair, Black, Male,40-59, <=50K
35-49, Private, 12th, Craft-repair, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Handlers-cleaners, Black, Male,20-39, <=50K
35-49, Local-gov, Some-college, Transport-moving, Black, Female,40-59, <=50K
17-34, Private, Some-college, Protective-serv, Black, Female,40-59, >50K
35-49, Private, Some-college, Adm-clerical, Black, Female,40-59, <=50K
35-49, Private, HS-grad, Machine-op-inspct, Black, Male,40-59, <=50K
17-34, Private, 10th, Machine-op-inspct, Black, Male,60-79, <=50K
35-49, Private, HS-grad, Machine-op-inspct, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Sales, Black, Male,40-59, <=50K
35-49, Local-gov, HS-grad, Exec-managerial, Black, Male,40-59, <=50K
17-34, Private, Bachelors, Exec-managerial, Black, Female,40-59, <=50K
35-49, Private, 9th, Handlers-cleaners, Black, Male,40-59, <=50K
35-49, Self-emp-not-inc, 10th, Craft-repair, Black, Male,20-39, <=50K
35-49, Private, Assoc-acdm, Transport-moving, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Craft-repair, Black, Male,40-59, <=50K
17-34, Private, Some-college, Machine-op-inspct, Black, Female,40-59, <=50K
17-34, Private, Bachelors, Exec-managerial, Black, Female,40-59, <=50K
35-49, Private, HS-grad, Sales, Black, Male,40-59, <=50K
35-49, State-gov, Assoc-acdm, Protective-serv, Black, Male,20-39, <=50K
17-34, Federal-gov, HS-grad, Adm-clerical, Black, Female,40-59, <=50K
17-34, Self-emp-not-inc, HS-grad, Sales, Black, Male,40-59, <=50K
35-49, Private, 12th, Machine-op-inspct, Black, Female,40-59, <=50K
35-49, Private, HS-grad, Machine-op-inspct, Black, Female,20-39, <=50K
35-49, Federal-gov, Some-college, Adm-clerical, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Machine-op-inspct, Black, Female,40-59, <=50K
35-49, Private, Some-college, Sales, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Handlers-cleaners, Black, Male,40-59, <=50K
65+, Local-gov, Bachelors, Prof-specialty, Black, Female,20-39, <=50K
17-34, Private, Some-college, Other-service, Black, Female,20-39, <=50K
17-34, Private, Assoc-voc, Sales, Black, Female,20-39, <=50K
35-49, Federal-gov, Bachelors, Protective-serv, Black, Female,40-59, <=50K
17-34, Private, Some-college, Other-service, Black, Female,20-39, <=50K
35-49, Private, HS-grad, Machine-op-inspct, Black, Male,40-59, <=50K
35-49, Private, Some-college, Handlers-cleaners, Black, Male,20-39, <=50K
35-49, Private, Assoc-voc, Sales, Black, Male,40-59, <=50K
17-34, Private, 10th, Adm-clerical, Black, Male,20-39, <=50K
17-34, Private, Some-college, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, Some-college, Prof-specialty, Black, Male,40-59, <=50K
35-49, Private, 10th, Machine-op-inspct, Black, Male,40-59, <=50K
17-34, Private, Bachelors, Exec-managerial, Black, Male,40-59, <=50K
17-34, Private, Some-college, Sales, Black, Male,20-39, <=50K
17-34, State-gov, HS-grad, Sales, Black, Female,20-39, <=50K
17-34, Private, HS-grad, Transport-moving, Black, Male,40-59, <=50K
17-34, Private, Bachelors, Prof-specialty, Black, Female,40-59, <=50K
17-34, Private, Some-college, Other-service, Black, Male,40-59, <=50K
35-49, State-gov, HS-grad, Other-service, Black, Female,40-59, <=50K
17-34, State-gov, Masters, Prof-specialty, Black, Female,40-59, <=50K
17-34, Private, Some-college, Other-service, Black, Male,20-39, <=50K
35-49, Private, HS-grad, Handlers-cleaners, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, Bachelors, Prof-specialty, Black, Male,40-59, >50K
17-34, Private, HS-grad, Other-service, Black, Male,20-39, <=50K
17-34, Private, Some-college, Handlers-cleaners, Black, Male,40-59, <=50K
35-49, Private, Some-college, Exec-managerial, Black, Male,40-59, <=50K
17-34, Private, Bachelors, Exec-managerial, Black, Female,20-39, <=50K
17-34, Private, Some-college, Craft-repair, Black, Male,20-39, <=50K
35-49, Private, 12th, Machine-op-inspct, Black, Female,40-59, <=50K
50-65, Local-gov, 7th-8th, Other-service, Black, Female,20-39, <=50K
35-49, Private, HS-grad, Other-service, Black, Male,40-59, <=50K
17-34, Private, 12th, Sales, Black, Male,40-59, <=50K
35-49, Private, 10th, Machine-op-inspct, Black, Male,40-59, <=50K
35-49, Local-gov, Some-college, Craft-repair, Black, Male,40-59, <=50K
17-34, Private, 12th, Farming-fishing, Black, Male,60-79, <=50K
50-65, Private, 11th, Other-service, Black, Female,20-39, <=50K
17-34, Private, HS-grad, Exec-managerial, Black, Male,20-39, <=50K
35-49, Private, Masters, Exec-managerial, Black, Female,40-59, >50K
65+, Private, 11th, Other-service, Black, Female,20-39, <=50K
17-34, Private, Bachelors, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, Some-college, Transport-moving, Black, Male,40-59, <=50K
17-34, Private, Some-college, Adm-clerical, Black, Female,0-19, <=50K
35-49, Private, Assoc-acdm, Craft-repair, Black, Male,40-59, <=50K
35-49, State-gov, Some-college, Adm-clerical, Black, Female,40-59, <=50K
17-34, Private, Assoc-acdm, Adm-clerical, Black, Female,40-59, <=50K
35-49, Private, 11th, Other-service, Black, Female,20-39, <=50K
17-34, Private, Some-college, Sales, Black, Male,40-59, <=50K
17-34, Federal-gov, HS-grad, Craft-repair, Black, Male,40-59, <=50K
17-34, Private, Bachelors, Prof-specialty, Black, Male,40-59, <=50K
50-65, Private, Assoc-voc, Tech-support, Black, Male,40-59, <=50K
35-49, Federal-gov, Some-college, Adm-clerical, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Handlers-cleaners, Black, Male,40-59, <=50K
35-49, Private, 11th, Craft-repair, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Machine-op-inspct, Black, Female,40-59, <=50K
17-34, Private, Assoc-voc, Exec-managerial, Black, Female,40-59, <=50K
17-34, Private, Bachelors, Prof-specialty, Black, Male,40-59, <=50K
17-34, Self-emp-inc, HS-grad, Other-service, Black, Male,40-59, >50K
17-34, Federal-gov, Bachelors, Exec-managerial, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Other-service, Black, Male,80+, <=50K
17-34, Private, HS-grad, Other-service, Black, Male,20-39, <=50K
35-49, Private, 11th, Transport-moving, Black, Male,40-59, <=50K
17-34, Private, HS-grad, Transport-moving, Black, Male,20-39, <=50K
35-49, Private, HS-grad, Other-service, Black, Male,40-59, <=50K
50-65, Private, HS-grad, Adm-clerical, Black, Male,40-59, <=50K
50-65, Self-emp-inc, Masters, Exec-managerial, Black, Female,40-59, <=50K
35-49, Private, 10th, Transport-moving, Black, Female,40-59, <=50K
17-34, Private, Some-college, Craft-repair, Black, Male,40-59, <=50K
35-49, Private, Bachelors, Exec-managerial, Black, Male,60-79, >50K
17-34, Private, HS-grad, Craft-repair, Black, Male,20-39, <=50K
65+, Local-gov, HS-grad, Adm-clerical, Black, Female,20-39, <=50K
17-34, Private, HS-grad, Machine-op-inspct, Black, Male,40-59, <=50K
35-49, Private, Some-college, Machine-op-inspct, Black, Male,40-59, <=50K
35-49, Private, Bachelors, Sales, Black, Female,40-59, <=50K
17-34, Private, HS-grad, Exec-managerial, Black, Male,40-59, <=50K
35-49, Local-gov, HS-grad, Other-service, Black, Male,40-59, <=50K
35-49, Private, HS-grad, Transport-moving, Other, Male,20-39, <=50K
17-34, Private, HS-grad, Other-service, Other, Female,40-59, <=50K
17-34, Private, Masters, Exec-managerial, Other, Male,20-39, <=50K
35-49, Private, HS-grad, Other-service, Other, Female,40-59, <=50K
17-34, Private, 10th, Handlers-cleaners, Other, Male,40-59, <=50K
50-65, Private, 1st-4th, Craft-repair, Other, Male,20-39, <=50K
50-65, Private, 12th, Handlers-cleaners, Other, Male,40-59, <=50K
17-34, Local-gov, Some-college, Adm-clerical, Other, Male,40-59, <=50K
17-34, Private, HS-grad, Prof-specialty, Other, Female,20-39, <=50K
35-49, Private, Bachelors, Transport-moving, Other, Male,80+, <=50K
35-49, Private, Prof-school, Prof-specialty, Other, Male,40-59, >50K
17-34, Private, Some-college, Sales, Other, Male,40-59, <=50K
35-49, Self-emp-not-inc, Bachelors, Exec-managerial, Other, Male,20-39, <=50K
17-34, Private, 5th-6th, Craft-repair, Other, Male,20-39, <=50K
17-34, Private, 7th-8th, Machine-op-inspct, Other, Female,40-59, <=50K
35-49, Private, Preschool, Other-service, Other, Male,60-79, <=50K
35-49, Private, Bachelors, Other-service, Other, Male,40-59, <=50K
17-34, Private, 1st-4th, Farming-fishing, Other, Male,60-79, <=50K
50-65, Private, Some-college, Machine-op-inspct, Other, Male,40-59, <=50K
17-34, Private, HS-grad, Farming-fishing, Other, Male,40-59, <=50K
17-34, Private, 1st-4th, Farming-fishing, Other, Male,40-59, <=50K
35-49, Private, HS-grad, Farming-fishing, Other, Male,40-59, <=50K
